id,categoryId,taxRateId,name,sku,barcode,price,costPrice,stockLevel,trackStock,allowPriceOverride,isWeighable,showInGoods,goodsSortOrder,color,image,isActive,createdAt,updatedAt,scalePlu
import-prod-43376,import-cat-uncategorised,tax-standard-vat,KAMIS PROSZEK DO PIECZENIA,43376,5900084272452,49,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-2282,import-cat-10,tax-standard-vat,KAMIS PRZ. DO GYROSA,2282,5900084204873,49,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-4485,import-cat-10,tax-standard-vat,KAMIS PRZ.GRZANIEC,4485,5900084191906,69,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-5204,import-cat-10,tax-standard-vat,KAMIS PRZYP. DO BIGOSU 20G,5204,5900084061018,69,25,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-17826,import-cat-10,tax-standard-vat,KAMIS PRZYP. DO GULASZU 25G,17826,5900084235235,69,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-17468,import-cat-18,tax-standard-vat,KAMIS PRZYPR DO MIESA WIEP,17468,5900084235211,49,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-42464,import-cat-uncategorised,tax-standard-vat,KAMIS PRZYPRAWA DO BURGERA,42464,5900084271950,59,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-42465,import-cat-uncategorised,tax-standard-vat,KAMIS PRZYPRAWA DO STEKA,42465,5900084271974,49,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-6656,import-cat-10,tax-standard-vat,KAMIS PRZYPRAWA DO ZIEMNIAKOW,6656,5900084079013,69,25,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-3160,import-cat-11,tax-standard-vat,KAMIS ROSYJSKA 185G,3160,5900084229425,79,39,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-1714,import-cat-10,tax-standard-vat,KAMIS ROSYJSKA 280G,1714,5900084228862,159,74,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-3056,import-cat-11,tax-standard-vat,KAMIS SAREPSKA 185G,3056,5900084229395,79,42,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-1660,import-cat-10,tax-standard-vat,KAMIS SAREPSKA 2850G,1660,5900084049238,159,66,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-32035,import-cat-uncategorised,tax-standard-vat,KAMIS SOS CZOSNKOWY,32035,5900084254250,49,18,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-33702,import-cat-18,tax-standard-vat,KAMIS SOS SALATKOWY,33702,5900084254199,49,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-33703,import-cat-18,tax-standard-vat,KAMIS SOS SALATKOWY,33703,5900084254236,49,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-15041,import-cat-11,tax-standard-vat,KAMIS STRONG CHILI,15041,5900084241809,129,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-43984,import-cat-uncategorised,tax-standard-vat,KAMIS TYMIANEK,43984,5900084270472,49,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-6946,import-cat-11,tax-standard-vat,KAMIS WINNY CZERW.,6946,5900084098014,299,127,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-3552,import-cat-11,tax-standard-vat,KAMIS WINY BIALY,3552,5900084097017,299,127,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
