id,name,color,sortOrder,isActive,createdAt,updatedAt
import-cat-6,Soft Drinks,#8b5cf6,54,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-3,Spirits,#06b6d4,55,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-18,Suche,#84cc16,56,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-9,Sweets & Biscuits,#f97316,57,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-11,Tins & Jars,#ec4899,58,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-22,Top Ups,#14b8a6,59,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-43,Ukrainian Bakery Products,#3b82f6,60,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-44,Ukrainian Beer And Spirits,#10b981,61,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-41,Ukrainian Freezer Products,#f59e0b,62,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-40,Ukrainian Fridge Products,#ef4444,63,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-42,Ukrainian Grocery Products,#8b5cf6,64,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-2,Wines,#06b6d4,65,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
import-cat-uncategorised,Imported / Uncategorised,#64748b,66,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z
